City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
186,Carahue,CL,-38.7,-73.1667,65.52,44,0,2.98,clear sky
187,Bahia Honda,CU,22.9036,-83.1592,73.0,91,75,3.6,broken clouds
188,Turukhansk,RU,65.8167,87.9833,-8.75,98,100,10.74,light snow
189,Saurimo,AO,-9.6608,20.3916,65.17,97,100,4.09,light rain
190,Vilhena,BR,-12.7406,-60.1458,80.04,52,87,1.41,overcast clouds
191,Saint Anthony,US,45.0205,-93.218,34.09,86,0,8.05,clear sky
192,Potam,MX,27.6,-110.3833,58.17,32,5,3.89,clear sky
193,Norman Wells,CA,65.282,-126.8329,5.63,93,100,11.01,overcast clouds
194,Altay,CN,47.8667,88.1167,-17.43,66,3,7.18,clear sky
195,Mvuma,ZW,-19.2792,30.5283,68.77,72,100,3.09,light rain
196,Iqaluit,CA,63.7506,-68.5145,7.7,65,100,17.0,overcast clouds
197,Mahebourg,MU,-20.4081,57.7,81.25,61,4,11.34,clear sky
198,Grindavik,IS,63.8424,-22.4338,39.67,87,75,25.32,broken clouds
199,Narsaq,GL,60.9167,-46.05,32.22,95,100,3.29,overcast clouds
200,Gat,IL,31.61,34.7642,71.78,28,100,2.53,overcast clouds
201,Xinyu,CN,27.8043,114.9334,66.11,97,97,0.89,light rain
202,Tiksi,RU,71.6872,128.8694,-25.6,98,100,7.92,overcast clouds
203,Stillwater,US,36.1156,-97.0584,46.56,90,100,1.01,overcast clouds
204,East London,ZA,-33.0153,27.9116,63.93,91,100,5.3,light rain
205,Arrecife,ES,28.963,-13.5477,78.78,53,0,13.8,clear sky
206,Dubbo,AU,-32.25,148.6167,66.33,77,87,6.91,overcast clouds
207,Souillac,MU,-20.5167,57.5167,79.25,58,9,12.68,clear sky
208,Mount Gambier,AU,-37.8333,140.7667,44.98,86,74,4.5,broken clouds
209,Sakaiminato,JP,35.55,133.2333,56.7,66,52,8.3,broken clouds
210,Tasiilaq,GL,65.6145,-37.6368,14.23,62,100,6.29,overcast clouds
211,Port-Cartier,CA,50.0334,-66.8654,25.75,93,98,1.5,overcast clouds
212,Gladstone,AU,-23.85,151.25,78.73,61,100,9.22,overcast clouds
213,Pozo Colorado,PY,-23.4923,-58.7972,85.77,43,0,3.85,clear sky
214,Tessalit,ML,20.1986,1.0114,82.33,14,100,10.31,overcast clouds
215,Qaqortoq,GL,60.7167,-46.0333,29.89,87,100,1.99,overcast clouds
216,Ahipara,NZ,-35.1667,173.1667,58.12,85,29,11.56,scattered clouds
217,Kaitangata,NZ,-46.2817,169.8464,47.05,76,99,1.07,overcast clouds
218,Ouesso,CG,1.6136,16.0517,80.08,71,97,2.46,overcast clouds
219,Bilma,NE,18.6853,12.9164,80.26,21,89,6.38,overcast clouds
220,Harrisonburg,US,38.4496,-78.8689,51.37,68,100,0.0,overcast clouds
221,Lumphat,KH,13.4878,106.9816,77.11,86,27,1.25,light rain
222,Yeppoon,AU,-23.1333,150.7333,78.58,74,70,10.25,broken clouds
223,Juneau,US,58.3019,-134.4197,31.21,100,23,5.01,few clouds
224,Kruisfontein,ZA,-34.0033,24.7314,72.77,47,66,15.55,broken clouds
225,Kuah,MY,6.3265,99.8432,83.23,70,100,4.94,overcast clouds
226,Bandarbeyla,SO,9.4942,50.8122,80.83,71,25,15.73,scattered clouds
227,Indianola,US,41.3581,-93.5574,40.86,74,100,17.22,overcast clouds
228,Bethel,US,41.3712,-73.414,43.93,69,98,3.27,overcast clouds
229,Vanderhoof,CA,54.0166,-124.0198,25.5,73,26,9.31,scattered clouds
230,Sitka,US,57.0531,-135.33,31.39,81,11,2.71,few clouds
231,Emba,KZ,48.8264,58.1442,22.15,35,98,18.28,overcast clouds
232,Leningradskiy,RU,69.3833,178.4167,-18.76,94,16,3.87,few clouds
233,Jalu,LY,29.0331,21.5482,75.92,33,60,15.55,broken clouds
234,Walvis Bay,NA,-22.9575,14.5053,61.09,69,52,10.56,broken clouds
235,Severo-Yeniseyskiy,RU,60.3725,93.0408,-21.71,100,100,3.78,overcast clouds
236,Hudiksvall,SE,61.729,17.1036,34.2,93,91,2.93,overcast clouds
237,Lalmohan,BD,22.3384,90.7419,74.86,60,2,2.17,clear sky
238,Bereda,ES,43.2686,-7.5406,48.15,100,100,3.91,overcast clouds
239,Oistins,BB,13.0667,-59.5333,79.65,78,99,21.27,light rain
240,Wagar,SD,16.1525,36.2032,95.14,18,0,8.08,clear sky
241,Upernavik,GL,72.7868,-56.1549,9.41,83,100,7.11,overcast clouds
242,Ginir,ET,7.1333,40.7,67.8,48,94,5.88,overcast clouds
243,Khandyga,RU,62.6667,135.6,-50.49,100,56,1.03,broken clouds
244,Asind,IN,25.7333,74.3333,72.36,18,0,2.89,clear sky
245,Naze,JP,28.3667,129.4833,68.72,63,67,15.1,broken clouds
246,Port Lincoln,AU,-34.7333,135.8667,56.61,65,78,11.95,broken clouds
247,Gravelbourg,CA,49.8834,-106.5512,32.58,76,94,15.08,overcast clouds
248,Saint-Francois,FR,46.4154,3.9054,45.68,87,0,3.44,clear sky
249,Marsa Matruh,EG,31.3525,27.2453,67.91,50,51,7.92,broken clouds
250,Bucerias,MX,20.75,-105.3333,65.98,88,12,3.89,few clouds
251,Marawi,PH,7.9986,124.2928,68.85,97,86,2.64,overcast clouds
252,Fort Nelson,CA,58.8053,-122.7002,15.39,91,100,10.36,light snow
