City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
81,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
83,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
84,Bluefields,NI,74.07,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
86,Kapaa,US,64.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Lata,PT,56.8,overcast clouds,40.1629,-8.3327,Terraços da Beira
89,Penzance,GB,54.28,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
90,Castro,BR,65.5,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
93,Hilo,US,69.12,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
94,Lagoa,PT,60.66,scattered clouds,39.05,-27.9833,Casa Das Faias
95,Siparia,TT,75.78,overcast clouds,10.1333,-61.5,Brook Gardens
97,Marzuq,YE,78.53,scattered clouds,14.4,46.4667,حيد القفلة
98,Cidreira,BR,72.64,broken clouds,-30.1811,-50.2056,Hotel Castelo
101,Kavaratti,IN,81.77,few clouds,10.5669,72.642,Green leaf
102,Waingapu,ID,81.37,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
105,Nagato,JP,57.07,overcast clouds,34.3833,131.2,いそう庵
106,Veraval,IN,78.87,clear sky,20.9,70.3667,Lords Inn Somnath
109,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
112,Callaway,US,66.94,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
114,Coihaique,CL,50.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
115,Buchanan,LR,83.95,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
116,Nouakchott,MR,85.93,clear sky,18.0858,-15.9785,HOTEL IMAN
117,Bengkulu,ID,78.62,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
118,Chuy,UY,75.15,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
119,Port Alfred,ZA,66.58,light rain,-33.5906,26.891,The Halyards Hotel & Spa
123,Villa Sandino,NI,69.73,overcast clouds,12.0483,-84.9936,Salón Rossmary
124,Longhua,CN,72.14,overcast clouds,23.6137,114.1919,Huadu Hotel
125,Atuona,PF,77.2,clear sky,-9.8,-139.0333,Villa Enata
127,Cabo San Lucas,MX,51.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
131,Muros,ES,58.08,light rain,42.7762,-9.0603,Apartment Av. Castelao
132,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
136,Ixtapa,MX,65.23,few clouds,20.7,-105.2,hotel la terminal
138,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
139,Popondetta,PG,75.02,overcast clouds,-8.7537,148.2534,Timos Transit House
144,Neuquen,AR,69.55,clear sky,-38.9516,-68.0591,Hotel del Comahue
145,Pringsewu,ID,76.41,overcast clouds,-5.3582,104.9744,Urban Style by Front One
